id,prop,cls,choice,correct
1,80,lamp,lamp,1
1,40,chair,chair,1
1,50,person,person,1
1,80,stool,stool,1
1,30,bowl,bowl,1
1,100,piano,table,0
1,20,bowl,bowl,1
1,100,person,person,1
1,60,table,table,1
1,20,person,person,1
1,30,person,person,1
1,60,piano,piano,1
1,60,lamp,lamp,1
1,20,stool,lamp,0
1,30,bottle,bottle,1
1,50,piano,piano,1
1,40,bottle,bottle,1
1,50,lamp,lamp,1
1,50,stool,stool,1
1,40,lamp,lamp,1
1,20,chair,table,0
1,30,table,table,1
1,80,bowl,bowl,1
1,100,airplane,airplane,1
1,20,lamp,lamp,1
1,40,person,person,1
1,30,airplane,airplane,1
1,100,bottle,bottle,1
1,20,bottle,bottle,1
1,40,stool,lamp,0
1,40,airplane,airplane,1
1,60,bowl,bowl,1
1,30,cup,stool,0
1,30,stool,stool,1
1,30,piano,piano,1
1,80,airplane,airplane,1
1,50,bottle,bottle,1
1,100,lamp,lamp,1
1,60,chair,chair,1
1,40,cup,bottle,0
1,30,chair,chair,1
1,50,table,table,1
1,100,cup,cup,1
1,80,chair,chair,1
1,40,table,table,1
1,80,person,person,1
1,30,lamp,lamp,1
1,100,table,table,1
1,50,airplane,airplane,1
1,60,cup,bottle,0
1,80,cup,bottle,0
1,80,bottle,bottle,1
1,100,stool,stool,1
1,20,airplane,airplane,1
1,50,cup,cup,1
1,60,stool,lamp,0
1,40,piano,table,0
1,80,piano,piano,1
1,50,chair,chair,1
1,20,piano,piano,1
1,60,bottle,bottle,1
1,40,bowl,bowl,1
1,60,person,person,1
1,20,cup,cup,1
1,80,table,table,1
1,100,chair,chair,1
1,50,bowl,bowl,1
1,20,table,table,1
1,60,airplane,airplane,1
1,100,bowl,bowl,1
2,80,lamp,lamp,1
2,80,chair,chair,1
2,80,cup,bottle,0
2,40,person,person,1
2,40,bowl,bowl,1
2,20,chair,chair,1
2,60,chair,chair,1
2,40,airplane,airplane,1
2,100,cup,cup,1
2,100,piano,piano,1
2,30,airplane,airplane,1
2,30,bowl,bowl,1
2,80,person,person,1
2,100,person,person,1
2,50,airplane,airplane,1
2,60,airplane,airplane,1
2,20,airplane,airplane,1
2,100,lamp,lamp,1
2,30,stool,stool,1
2,30,person,person,1
2,50,stool,stool,1
2,60,lamp,lamp,1
2,100,chair,chair,1
2,60,table,chair,0
2,40,table,table,1
2,50,table,table,1
2,50,bowl,bowl,1
2,40,stool,lamp,0
2,60,cup,bottle,0
2,80,stool,stool,1
2,50,cup,chair,0
2,100,bowl,bowl,1
2,50,chair,chair,1
2,20,lamp,lamp,1
2,60,stool,stool,1
2,20,cup,cup,1
2,20,stool,stool,1
2,20,bowl,bowl,1
2,60,piano,piano,1
2,40,lamp,lamp,1
2,50,person,person,1
2,80,table,table,1
2,40,chair,chair,1
2,30,table,table,1
2,30,cup,bottle,0
2,20,person,person,1
2,30,bottle,bottle,1
2,40,piano,piano,1
2,20,bottle,bottle,1
2,50,lamp,lamp,1
2,100,airplane,airplane,1
2,30,piano,table,0
2,50,bottle,bottle,1
2,100,table,table,1
2,60,bottle,bottle,1
2,40,cup,cup,1
2,80,airplane,airplane,1
2,30,lamp,lamp,1
2,60,bowl,bowl,1
2,20,piano,chair,0
2,60,person,person,1
2,30,chair,chair,1
2,100,stool,stool,1
2,80,piano,piano,1
2,40,bottle,cup,0
2,20,table,table,1
2,50,piano,piano,1
2,80,bowl,bowl,1
2,100,bottle,bottle,1
2,80,bottle,bottle,1
4,80,piano,stool,0
4,20,airplane,airplane,1
4,80,stool,stool,1
4,60,chair,chair,1
4,20,person,person,1
4,100,stool,stool,1
4,80,airplane,airplane,1
4,30,bowl,bowl,1
4,80,bottle,bottle,1
