id,voxel,cls,choice,correct
3,0.01,table,stool,0
3,0.1,airplane,airplane,1
3,0.01,stool,stool,1
3,0.01,cup,cup,1
3,0.05,person,person,1
3,0.01,person,person,1
3,0.1,lamp,lamp,1
3,0.2,bottle,bottle,1
3,0.01,chair,chair,1
3,0.2,bowl,bowl,1
3,0.1,cup,cup,1
3,0.1,bottle,bottle,1
3,0.01,bowl,bowl,1
3,0.05,bowl,bowl,1
3,0.2,lamp,lamp,1
3,0.1,chair,chair,1
3,0.2,table,table,1
3,0.05,bottle,bottle,1
3,0.1,bowl,bowl,1
3,0.05,cup,bottle,0
3,0.05,airplane,airplane,1
3,0.01,bottle,bottle,1
3,0.2,airplane,airplane,1
3,0.1,stool,bottle,0
3,0.2,piano,piano,1
3,0.05,piano,piano,1
3,0.01,airplane,airplane,1
3,0.1,piano,piano,1
3,0.01,lamp,lamp,1
3,0.2,stool,chair,0
3,0.2,chair,chair,1
3,0.05,chair,chair,1
3,0.2,person,person,1
3,0.2,cup,lamp,0
3,0.05,table,cup,0
3,0.1,person,person,1
3,0.05,stool,stool,1
3,0.01,piano,piano,1
3,0.1,table,table,1
3,0.05,lamp,lamp,1
4,0.2,chair,chair,1
4,0.2,person,person,1
4,0.01,chair,chair,1
4,0.1,lamp,lamp,1
4,0.2,bowl,bowl,1
4,0.05,bottle,bottle,1
4,0.01,airplane,airplane,1
4,0.1,piano,piano,1
4,0.01,piano,piano,1
4,0.01,person,person,1
4,0.05,airplane,airplane,1
4,0.05,cup,cup,1
4,0.01,cup,cup,1
4,0.01,bowl,bowl,1
4,0.2,lamp,lamp,1
4,0.01,table,table,1
4,0.1,person,person,1
4,0.1,cup,stool,0
4,0.05,stool,stool,1
4,0.2,cup,cup,1
4,0.1,bowl,bowl,1
4,0.2,stool,stool,1
4,0.01,bottle,bottle,1
4,0.2,table,table,1
4,0.1,bottle,bottle,1
4,0.05,table,table,1
4,0.2,bottle,bottle,1
4,0.1,chair,chair,1
4,0.2,airplane,person,0
4,0.01,stool,stool,1
4,0.1,stool,stool,1
4,0.05,piano,chair,0
4,0.1,table,table,1
4,0.1,airplane,chair,0
4,0.2,piano,piano,1
4,0.05,lamp,lamp,1
4,0.05,chair,chair,1
4,0.01,lamp,lamp,1
4,0.05,bowl,bowl,1
4,0.05,person,person,1
6,0.05,piano,piano,1
6,0.05,bowl,bowl,1
6,0.01,bowl,bowl,1
6,0.2,bowl,cup,0
6,0.1,stool,lamp,0
6,0.1,person,person,1
6,0.05,stool,stool,1
6,0.05,cup,cup,1
6,0.01,chair,chair,1
6,0.05,bottle,bottle,1
6,0.1,piano,piano,1
6,0.2,cup,lamp,0
6,0.01,person,person,1
6,0.01,lamp,lamp,1
6,0.01,piano,piano,1
6,0.2,person,chair,0
6,0.2,piano,piano,1
6,0.05,table,table,1
6,0.01,table,table,1
6,0.1,bottle,bottle,1
6,0.2,chair,chair,1
6,0.1,lamp,lamp,1
6,0.2,lamp,lamp,1
6,0.1,cup,lamp,0
6,0.1,airplane,airplane,1
6,0.01,stool,chair,0
6,0.05,lamp,lamp,1
6,0.05,person,person,1
6,0.1,table,table,1
6,0.2,stool,chair,0
6,0.01,cup,cup,1
6,0.05,chair,chair,1
6,0.1,chair,chair,1
6,0.1,bowl,bowl,1
6,0.2,airplane,airplane,1
6,0.2,bottle,bottle,1
6,0.01,airplane,airplane,1
6,0.01,bottle,bottle,1
6,0.05,airplane,airplane,1
6,0.2,table,table,1
5,0.1,chair,chair,1
5,0.2,piano,piano,1
5,0.01,piano,piano,1
5,0.01,table,table,1
5,0.1,person,person,1
5,0.2,airplane,airplane,1
5,0.05,lamp,lamp,1
5,0.01,lamp,lamp,1
5,0.1,cup,lamp,0
5,0.2,lamp,lamp,1
5,0.1,stool,stool,1
5,0.2,bottle,chair,0
5,0.05,cup,cup,1
5,0.05,stool,stool,1
5,0.1,airplane,airplane,1
5,0.2,stool,stool,1
5,0.01,stool,stool,1
5,0.2,bowl,cup,0
5,0.2,cup,lamp,0
5,0.1,bowl,cup,0
5,0.01,person,person,1
5,0.1,lamp,cup,0
5,0.05,airplane,airplane,1
5,0.1,piano,piano,1
5,0.01,cup,cup,1
5,0.01,bowl,bowl,1
5,0.01,chair,chair,1
5,0.05,person,person,1
5,0.05,piano,chair,0
5,0.2,table,table,1
5,0.05,bowl,bowl,1
5,0.05,table,table,1
5,0.2,person,person,1
5,0.1,bottle,bottle,1
5,0.01,airplane,airplane,1
5,0.05,bottle,bottle,1
5,0.01,bottle,bottle,1
5,0.05,chair,chair,1
5,0.1,table,table,1
5,0.2,chair,chair,1
7,0.1,person,lamp,0
7,0.2,stool,person,0
7,0.05,person,person,1
7,0.2,lamp,lamp,1
7,0.2,cup,bowl,0
7,0.2,person,person,1
7,0.1,piano,bottle,0
7,0.01,airplane,airplane,1
7,0.2,bottle,bottle,1
7,0.01,cup,cup,1
7,0.05,bowl,bowl,1
7,0.1,cup,stool,0
7,0.01,lamp,lamp,1
7,0.1,chair,chair,1
7,0.05,cup,cup,1
7,0.05,airplane,airplane,1
7,0.1,airplane,airplane,1
7,0.1,table,table,1
7,0.01,bowl,bowl,1
7,0.2,chair,chair,1
7,0.01,table,table,1
7,0.2,piano,piano,1
7,0.01,stool,chair,0
7,0.05,piano,piano,1
7,0.05,lamp,lamp,1
7,0.05,bottle,bottle,1
7,0.01,chair,chair,1
7,0.2,airplane,airplane,1
7,0.05,chair,chair,1
7,0.1,bottle,bottle,1
7,0.2,bowl,piano,0
7,0.1,bowl,bowl,1
7,0.05,table,table,1
7,0.1,lamp,bottle,0
7,0.01,piano,piano,1
7,0.05,stool,chair,0
7,0.01,bottle,bottle,1
7,0.1,stool,stool,1
7,0.01,person,person,1
7,0.2,table,table,1
9,0.05,table,table,1
9,0.05,airplane,airplane,1
9,0.2,person,lamp,0
9,0.2,bowl,bowl,1
9,0.2,cup,bottle,0
9,0.01,stool,stool,1
9,0.01,piano,piano,1
9,0.05,piano,piano,1
9,0.1,lamp,lamp,1
9,0.1,stool,person,0
9,0.01,bottle,bottle,1
9,0.01,chair,chair,1
9,0.01,table,table,1
9,0.2,piano,piano,1
9,0.1,bottle,bottle,1
9,0.2,airplane,table,0
9,0.1,chair,chair,1
9,0.05,lamp,lamp,1
9,0.2,chair,chair,1
9,0.01,airplane,airplane,1
9,0.05,cup,cup,1
9,0.01,person,person,1
9,0.1,person,person,1
9,0.01,lamp,lamp,1
9,0.01,bowl,bowl,1
9,0.05,bowl,bowl,1
9,0.1,cup,cup,1
9,0.05,person,person,1
9,0.05,bottle,bottle,1
9,0.2,table,table,1
9,0.2,lamp,lamp,1
9,0.1,bowl,bowl,1
9,0.01,cup,cup,1
9,0.05,stool,stool,1
9,0.1,airplane,airplane,1
9,0.1,table,table,1
9,0.05,chair,chair,1
9,0.1,piano,piano,1
9,0.2,bottle,bottle,1
9,0.2,stool,chair,0
10,0.1,table,table,1
10,0.01,piano,piano,1
10,0.1,person,person,1
10,0.05,person,person,1
10,0.01,bowl,bowl,1
10,0.2,stool,chair,0
10,0.01,airplane,airplane,1
10,0.1,chair,chair,1
10,0.05,bottle,bottle,1
10,0.01,chair,chair,1
10,0.05,airplane,airplane,1
10,0.05,bowl,bowl,1
10,0.2,lamp,lamp,1
10,0.01,cup,cup,1
10,0.2,table,table,1
10,0.1,bowl,bowl,1
10,0.05,stool,stool,1
10,0.05,piano,piano,1
10,0.01,bottle,bottle,1
10,0.2,bowl,cup,0
10,0.05,lamp,lamp,1
10,0.1,stool,chair,0
10,0.01,table,table,1
10,0.1,airplane,airplane,1
10,0.01,stool,stool,1
10,0.05,table,table,1
10,0.05,chair,chair,1
10,0.1,bottle,bottle,1
10,0.2,cup,cup,1
10,0.1,lamp,cup,0
10,0.05,cup,cup,1
10,0.2,airplane,airplane,1
10,0.2,chair,chair,1
10,0.01,person,person,1
10,0.1,piano,chair,0
10,0.2,piano,piano,1
10,0.2,bottle,bottle,1
10,0.01,lamp,lamp,1
10,0.2,person,person,1
10,0.1,cup,cup,1
11,0.2,cup,bowl,0
11,0.05,table,table,1
11,0.1,bowl,bowl,1
11,0.1,person,person,1
11,0.05,chair,chair,1
11,0.2,piano,piano,1
11,0.05,piano,piano,1
11,0.2,stool,chair,0
11,0.05,person,person,1
11,0.2,airplane,table,0
11,0.05,stool,chair,0
11,0.05,lamp,lamp,1
11,0.2,person,person,1
11,0.1,airplane,airplane,1
11,0.05,bottle,bottle,1
11,0.1,piano,piano,1
11,0.01,person,person,1
11,0.01,bowl,bowl,1
11,0.2,chair,chair,1
11,0.2,bowl,bowl,1
11,0.1,chair,chair,1
11,0.05,bowl,bowl,1
11,0.01,chair,chair,1
11,0.01,bottle,bottle,1
11,0.2,lamp,lamp,1
11,0.1,lamp,lamp,1
11,0.01,piano,piano,1
11,0.1,table,table,1
11,0.2,bottle,bottle,1
11,0.05,airplane,airplane,1
11,0.1,cup,cup,1
11,0.1,bottle,bottle,1
11,0.01,lamp,lamp,1
11,0.01,table,table,1
11,0.01,stool,stool,1
11,0.01,cup,cup,1
11,0.1,stool,stool,1
11,0.01,airplane,airplane,1
11,0.2,table,piano,0
11,0.05,cup,cup,1
12,0.1,lamp,lamp,1
12,0.1,bottle,bottle,1
12,0.05,bottle,bottle,1
12,0.2,airplane,table,0
12,0.1,piano,piano,1
12,0.2,bottle,bottle,1
12,0.05,cup,cup,1
12,0.01,person,person,1
12,0.2,cup,lamp,0
12,0.01,airplane,airplane,1
12,0.05,person,person,1
12,0.05,lamp,lamp,1
12,0.01,piano,table,0
12,0.1,table,table,1
12,0.01,cup,cup,1
12,0.01,lamp,lamp,1
12,0.2,piano,piano,1
12,0.05,bowl,bowl,1
12,0.01,bottle,bottle,1
12,0.1,chair,piano,0
12,0.2,table,table,1
12,0.2,person,stool,0
12,0.1,cup,cup,1
12,0.2,chair,chair,1
12,0.1,stool,chair,0
12,0.01,stool,bottle,0
12,0.05,table,table,1
12,0.05,piano,piano,1
12,0.01,bowl,bowl,1
12,0.01,chair,chair,1
12,0.2,stool,stool,1
12,0.05,airplane,airplane,1
12,0.05,stool,stool,1
12,0.05,chair,chair,1
12,0.2,lamp,lamp,1
12,0.1,person,bottle,0
12,0.2,bowl,lamp,0
12,0.1,bowl,bowl,1
12,0.01,table,table,1
12,0.1,airplane,airplane,1
13,0.2,stool,stool,1
13,0.2,cup,table,0
13,0.05,chair,chair,1
13,0.1,stool,stool,1
13,0.1,table,table,1
13,0.01,person,person,1
13,0.05,stool,stool,1
13,0.1,lamp,lamp,1
13,0.01,bottle,bottle,1
13,0.01,piano,chair,0
13,0.1,chair,chair,1
13,0.1,bottle,bottle,1
13,0.01,chair,chair,1
13,0.05,person,person,1
13,0.2,bowl,bowl,1
13,0.2,chair,chair,1
13,0.05,piano,piano,1
13,0.2,bottle,bottle,1
13,0.05,bowl,cup,0
13,0.2,table,table,1
13,0.01,lamp,lamp,1
13,0.1,bowl,bowl,1
13,0.01,airplane,airplane,1
13,0.1,person,person,1
13,0.2,lamp,stool,0
13,0.01,stool,bottle,0
13,0.01,cup,cup,1
13,0.05,cup,cup,1
13,0.01,bowl,bowl,1
13,0.05,lamp,lamp,1
13,0.1,airplane,airplane,1
13,0.2,person,person,1
13,0.01,table,table,1
13,0.05,airplane,airplane,1
13,0.1,piano,chair,0
13,0.05,table,table,1
13,0.1,cup,cup,1
13,0.05,bottle,bottle,1
13,0.2,piano,piano,1
13,0.2,airplane,table,0
14,0.01,airplane,airplane,1
14,0.05,bowl,bowl,1
14,0.1,bowl,chair,0
14,0.05,airplane,airplane,1
14,0.01,piano,piano,1
14,0.05,cup,cup,1
14,0.01,bottle,bottle,1
14,0.2,bowl,bowl,1
14,0.2,lamp,stool,0
14,0.05,piano,piano,1
14,0.05,bottle,bottle,1
14,0.2,stool,chair,0
14,0.2,chair,chair,1
14,0.05,person,person,1
14,0.1,lamp,lamp,1
14,0.01,chair,chair,1
14,0.01,bowl,bowl,1
14,0.1,cup,cup,1
14,0.01,cup,cup,1
14,0.1,stool,stool,1
14,0.1,person,person,1
14,0.05,chair,chair,1
14,0.1,piano,piano,1
14,0.01,lamp,lamp,1
14,0.1,table,table,1
14,0.05,lamp,lamp,1
14,0.01,table,table,1
14,0.1,airplane,airplane,1
14,0.1,chair,chair,1
14,0.2,cup,cup,1
14,0.2,table,table,1
14,0.01,person,person,1
14,0.05,table,table,1
14,0.05,stool,chair,0
14,0.2,piano,piano,1
14,0.1,bottle,stool,0
14,0.2,airplane,airplane,1
14,0.2,bottle,stool,0
14,0.01,stool,stool,1
14,0.2,person,person,1
16,0.05,table,table,1
16,0.05,cup,cup,1
16,0.1,cup,cup,1
16,0.05,airplane,airplane,1
16,0.01,piano,piano,1
16,0.1,table,chair,0
16,0.05,lamp,lamp,1
16,0.01,table,table,1
