id,model,cls,category,obj_id,scrambled,choice,correct
2,point_transformer,chair,chair,9,normal,chair,1
2,point_transformer,chair,chair,9,scrambled,lamp,0
2,dgcnn,table,table,2,scrambled,chair,0
2,point_transformer,car,car,8,normal,car,1
2,point_transformer,car,car,3,normal,car,1
2,dgcnn,car,car,4,normal,car,1
2,point_transformer,table,table,7,normal,table,1
2,point_transformer,chair,chair,1,normal,chair,1
2,point_transformer,table,table,9,scrambled,table,1
2,point_transformer,lamp,lamp,2,scrambled,lamp,1
2,dgcnn,chair,chair,5,scrambled,table,0
2,point_transformer,lamp,lamp,4,scrambled,lamp,1
2,point_transformer,airplane,airplane,8,scrambled,lamp,0
2,dgcnn,car,car,6,scrambled,car,1
2,dgcnn,chair,chair,4,scrambled,lamp,0
2,dgcnn,chair,chair,3,scrambled,lamp,0
2,point_transformer,airplane,airplane,1,normal,airplane,1
2,dgcnn,chair,chair,4,normal,chair,1
2,point_transformer,car,car,2,normal,car,1
2,dgcnn,table,table,1,normal,table,1
2,dgcnn,lamp,lamp,1,normal,lamp,1
2,point_transformer,chair,chair,3,normal,chair,1
2,point_transformer,airplane,airplane,9,scrambled,lamp,0
2,dgcnn,table,table,4,normal,table,1
2,dgcnn,table,table,6,scrambled,chair,0
2,point_transformer,car,car,9,scrambled,car,1
2,point_transformer,lamp,lamp,5,scrambled,car,0
2,dgcnn,car,car,8,scrambled,car,1
2,point_transformer,table,table,4,normal,table,1
2,dgcnn,table,table,3,normal,table,1
2,point_transformer,lamp,lamp,2,normal,lamp,1
2,dgcnn,chair,chair,2,normal,chair,1
2,dgcnn,table,table,10,normal,table,1
2,dgcnn,table,table,8,scrambled,table,1
2,dgcnn,lamp,lamp,7,scrambled,lamp,1
2,dgcnn,car,car,2,normal,car,1
2,dgcnn,chair,chair,1,normal,chair,1
2,dgcnn,table,table,7,scrambled,table,1
2,dgcnn,chair,chair,7,scrambled,chair,1
2,dgcnn,lamp,lamp,10,normal,lamp,1
2,point_transformer,car,car,3,scrambled,car,1
2,point_transformer,car,car,4,scrambled,car,1
2,point_transformer,table,table,3,scrambled,chair,0
2,dgcnn,lamp,lamp,2,normal,lamp,1
2,point_transformer,car,car,5,scrambled,car,1
2,dgcnn,airplane,airplane,1,scrambled,airplane,1
2,dgcnn,airplane,airplane,4,scrambled,airplane,1
2,point_transformer,car,car,7,normal,car,1
