class,normal_conf,scrambled_conf,idx_in_dataset,step,count
table,0.9787649,0.4885923,0,99,1
table,0.88469976,0.391857,2,49,2
table,0.9891689,0.6002292,3,23,3
table,0.89853215,0.5555756,4,71,4
table,0.91935813,0.25101104,5,55,5
table,0.9907212,0.35414553,6,20,6
table,0.90626496,0.4276463,7,4,7
table,0.99541146,0.40893525,9,1,8
table,0.956213,0.55470324,10,25,9
table,0.9800889,0.36692637,11,1,10
chair,0.42067635,0.915357,2,2,1
chair,0.6619612,0.65674585,4,5,2
chair,0.5165209,0.31058517,6,3,3
chair,0.4225514,0.40503076,10,1,4
chair,0.66641515,0.39037314,11,25,5
chair,0.609368,0.4785471,13,7,6
chair,0.685635,0.5739691,15,66,7
chair,0.7843695,0.34408018,22,0,8
chair,0.90226793,0.35384375,23,33,9
chair,0.70513695,0.7848097,28,4,10
car,0.9992919,0.3324123,0,14,1
car,0.9997843,0.5175412,1,2,2
car,0.99910456,0.41790795,2,16,3
car,0.9977113,0.32863146,3,0,4
car,0.9999387,0.57800317,4,0,5
car,0.9932288,0.9911094,5,2,6
car,0.99958485,0.81383985,6,14,7
car,0.9928912,0.3105119,7,32,8
car,0.9984006,0.6592888,8,4,9
car,0.98680705,0.41794693,9,81,10
airplane,0.999998,0.80268353,0,1,1
airplane,0.95357287,0.8742644,1,2,2
airplane,0.99995184,0.97005504,3,0,3
airplane,0.99974877,0.9479321,4,0,4
airplane,0.9042089,0.8913908,5,2,5
airplane,0.99651235,0.46563938,6,0,6
airplane,0.9967445,0.88446456,7,4,7
airplane,0.9958112,0.67254645,8,0,8
airplane,0.9948926,0.85828614,9,0,9
airplane,0.99879706,0.5984888,10,0,10
lamp,0.997663,0.7444653,1,3,1
lamp,0.63751966,0.54840755,4,33,2
lamp,0.99712664,0.6167035,5,2,3
lamp,0.45067516,0.51999,6,24,4
lamp,0.57362807,0.54716444,8,9,5
lamp,0.9942205,0.9321166,9,0,6
lamp,0.58608377,0.67836845,10,1,7
lamp,0.9971938,0.94003814,11,8,8
lamp,0.3618099,0.8049238,12,1,9
lamp,0.5456995,0.9798415,14,0,10
